Customer Name,Age,Gender,Location,Choice of Beer,Prices
Customer 199,47,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 200,45,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 201,40,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 202,53,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 203,41,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 204,55,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 205,44,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 206,40,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 207,48,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 208,38,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 209,61,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 210,48,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 211,46,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 212,49,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 213,55,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 214,53,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 215,38,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 216,37,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 217,57,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 218,64,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 219,41,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 220,41,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 221,61,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 222,52,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 223,58,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 224,39,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 225,57,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 226,55,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 227,43,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 228,58,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 229,52,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 230,39,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 231,36,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 232,50,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 233,44,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 234,46,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 235,40,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 236,52,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 237,45,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 238,63,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 239,57,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 240,60,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 241,59,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 242,52,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 243,62,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 244,44,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 245,38,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 246,47,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 247,54,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 248,43,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 249,38,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 250,49,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 251,36,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 252,63,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 253,54,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 254,60,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 255,63,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 256,40,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 257,44,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 258,49,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 259,59,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 260,38,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 261,53,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 262,51,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 263,40,Male,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 264,60,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 265,52,Female,Near Shop A,Stella Artois Bottle (Pack of 6),720
Customer 266,23,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 267,35,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 268,33,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 269,27,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 270,21,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 271,25,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 272,27,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 273,27,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 274,22,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 275,31,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 276,32,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 277,26,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 278,35,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 279,27,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 280,35,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 281,21,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 282,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 283,30,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 284,27,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 285,28,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 286,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 287,25,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 288,35,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 289,23,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 290,21,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 291,21,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 292,27,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 293,35,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 294,29,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 295,30,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 296,21,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 297,27,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 298,34,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 299,34,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 300,32,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 301,32,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 302,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 303,23,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 304,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 305,24,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 306,21,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 307,26,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 308,35,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 309,29,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 310,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 311,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 312,27,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 313,34,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 314,32,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 315,25,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 316,23,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 317,24,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 318,25,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 319,26,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 320,29,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 321,22,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 322,22,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 323,30,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 324,31,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 325,23,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 326,30,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 327,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 328,24,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 329,30,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 330,33,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 331,23,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 332,34,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 333,34,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 334,30,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 335,21,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 336,23,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 337,22,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 338,26,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 339,32,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 340,31,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 341,35,Male,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 342,34,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 343,21,Female,Near Shop A,Stella Artois Can (Pack of 12),1200
Customer 344,25,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 345,23,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 346,25,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 347,25,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 348,23,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 349,28,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 350,24,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 351,27,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 352,34,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 353,22,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 354,24,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 355,22,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 356,22,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 357,35,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 358,29,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 359,23,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 360,31,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 361,23,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 362,23,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 363,26,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 364,32,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 365,31,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 366,21,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 367,21,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 368,28,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 369,29,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 370,30,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 371,32,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 372,26,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 373,29,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 374,23,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 375,33,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 376,29,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 377,30,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 378,23,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 379,30,Female,Near Shop A,Competitor Can (Pack of 6),540
Customer 380,27,Male,Near Shop A,Competitor Can (Pack of 6),540
Customer 381,28,Male,Near Shop A,Competitor Can (Pack of 6),540
